StartDevice,StartPort,EndDevice,EndPort,BandWidth,VlanID,VlanMode
falco-test-dut01,Ethernet0,falco-test-fout01,Ethernet1/1,40000,1681,Access
falco-test-dut01,Ethernet4,falco-test-fout01,Ethernet2/1,40000,1682,Access
falco-test-dut01,Ethernet8,falco-test-fout01,Ethernet3/1,40000,1683,Access
falco-test-dut01,Ethernet12,falco-test-fout01,Ethernet4/1,40000,1684,Access
falco-test-dut01,Ethernet16,falco-test-fout01,Ethernet5/1,40000,1685,Access
falco-test-dut01,Ethernet20,falco-test-fout01,Ethernet6/1,40000,1686,Access
falco-test-dut01,Ethernet24,falco-test-fout01,Ethernet7/1,40000,1687,Access
falco-test-dut01,Ethernet28,falco-test-fout01,Ethernet8/1,40000,1688,Access
falco-test-dut01,Ethernet32,falco-test-fout01,Ethernet9/1,40000,1689,Access
falco-test-dut01,Ethernet36,falco-test-fout01,Ethernet10/1,40000,1690,Access
falco-test-dut01,Ethernet40,falco-test-fout01,Ethernet11/1,40000,1691,Access
falco-test-dut01,Ethernet44,falco-test-fout01,Ethernet12/1,40000,1692,Access
falco-test-dut01,Ethernet48,falco-test-fout01,Ethernet13/1,40000,1693,Access
falco-test-dut01,Ethernet52,falco-test-fout01,Ethernet14/1,40000,1694,Access
falco-test-dut01,Ethernet56,falco-test-fout01,Ethernet15/1,40000,1695,Access
falco-test-dut01,Ethernet60,falco-test-fout01,Ethernet16/1,40000,1696,Access
falco-test-dut01,Ethernet64,falco-test-fout01,Ethernet17/1,40000,1697,Access
falco-test-dut01,Ethernet68,falco-test-fout01,Ethernet18/1,40000,1698,Access
falco-test-dut01,Ethernet72,falco-test-fout01,Ethernet19/1,40000,1699,Access
falco-test-dut01,Ethernet76,falco-test-fout01,Ethernet20/1,40000,1700,Access
falco-test-dut01,Ethernet80,falco-test-fout01,Ethernet21/1,40000,1701,Access
falco-test-dut01,Ethernet84,falco-test-fout01,Ethernet22/1,40000,1702,Access
falco-test-dut01,Ethernet88,falco-test-fout01,Ethernet23/1,40000,1703,Access
falco-test-dut01,Ethernet92,falco-test-fout01,Ethernet24/1,40000,1704,Access
falco-test-dut01,Ethernet96,falco-test-fout01,Ethernet25/1,40000,1705,Access
falco-test-dut01,Ethernet100,falco-test-fout01,Ethernet26/1,40000,1706,Access
falco-test-dut01,Ethernet104,falco-test-fout01,Ethernet27/1,40000,1707,Access
falco-test-dut01,Ethernet108,falco-test-fout01,Ethernet28/1,40000,1708,Access
falco-test-dut01,Ethernet112,falco-test-fout01,Ethernet29/1,40000,1709,Access
falco-test-dut01,Ethernet116,falco-test-fout01,Ethernet30/1,40000,1710,Access
falco-test-dut01,Ethernet120,falco-test-fout01,Ethernet31/1,40000,1711,Access
falco-test-dut01,Ethernet124,falco-test-fout01,Ethernet32/1,40000,1712,Access
falco-test-fout00,Ethernet1/1,str-acs-serv-01,eth0,40000,,Trunk
falco-test-fout00,Ethernet64/1,falco-test-fout01,Ethernet64/1,40000,1681-1712,Trunk
